date,precipitation,avg_temp
1/1/2015,0.00,33.0
1/2/2015,0.00,38.5
1/3/2015,0.71,37.5
1/4/2015,0.30,48.5
1/5/2015,0.00,35.0
1/6/2015,0.05,20.5
1/7/2015,0.00,16.0
1/8/2015,0.00,14.5
1/9/2015,0.07,26.0
1/10/2015,0.00,19.5
1/11/2015,0.00,27.5
1/12/2015,0.36,37.0
1/13/2015,0.00,26.5
1/14/2015,0.00,24.0
1/15/2015,0.00,30.0
1/16/2015,0.00,31.5
1/17/2015,0.00,24.5
1/18/2015,2.10,36.5
1/19/2015,0.00,39.0
1/20/2015,0.00,36.0
1/21/2015,0.00,30.5
1/22/2015,0.00,35.5
1/23/2015,0.00,33.5
1/24/2015,0.72,36.0
1/25/2015,0.00,36.5
1/26/2015,0.40,26.5
1/27/2015,0.36,25.0
1/28/2015,0.00,25.0
1/29/2015,0.02,27.5
1/30/2015,0.06,28.5
1/31/2015,0.00,19.5
